id,chars,source_path,h1,h2,h3,law_name,region,article_or_section,source
003900f8-1cbd-42ca-a320-3af3975f1178,35,data/kb_raw/California state law.txt,,,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
62d306b4-9695-4209-996b-96bff8846b21,22,data/kb_raw/California state law.txt,,Senate Bill No. 976,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
756a6f27-2120-4ee4-8ed1-b5a3b6be235a,245,data/kb_raw/California state law.txt,,CHAPTER 321,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
023b46ed-35d7-4593-a4dd-1cfc52be4a2c,2124,data/kb_raw/California state law.txt,,THE PEOPLE OF THE STATE OF CALIFORNIA DO ENACT AS FOLLOWS:,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
37f39260-bd6f-4c9c-b1e2-3214bca3c3c7,3890,data/kb_raw/California state law.txt,,LEGISLATIVE COUNSEL'S DIGEST,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
9398cf0a-9075-4bba-94ed-fc8bf9b92b41,1245,data/kb_raw/California state law.txt,,LEGISLATIVE COUNSEL'S DIGEST,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
d09c6117-a924-47f3-8a06-8fff3538aca4,3857,data/kb_raw/California state law.txt,,CHAPTER 24. Protecting Our Kids from Social Media Addiction Act,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
a1db48c0-4207-4bf9-8b1b-0ad7fa0a4b79,3881,data/kb_raw/California state law.txt,,CHAPTER 24. Protecting Our Kids from Social Media Addiction Act,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
2ab96a4a-d2d1-46c8-bc39-dec3d9efb0fa,3429,data/kb_raw/California state law.txt,,CHAPTER 24. Protecting Our Kids from Social Media Addiction Act,,Protecting Our Kids from Social Media Addiction Act,US-CA,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
d1a99c8f-bfb0-4b34-8a15-32c93163ffd0,804,data/kb_raw/EU Digital Service Act.txt,,Digital Services Act,,Digital Services Act,EU,,https://eur-lex.europa.eu/eli/reg/2022/2065/oj
5085f392-fbc2-4124-b01f-2c465c0c3edf,920,data/kb_raw/EU Digital Service Act.txt,,Objectives,,Digital Services Act,EU,,https://eur-lex.europa.eu/eli/reg/2022/2065/oj
06eb3a89-69d3-45c5-a190-9c40d9a3c67e,2629,data/kb_raw/EU Digital Service Act.txt,,New obligations on platform companies,,Digital Services Act,EU,,https://eur-lex.europa.eu/eli/reg/2022/2065/oj
